item_code,item,unit,item_group,item_category,2023-01-01,2023-01-09,2023-01-16,2023-01-18,2023-01-19,2023-01-30
260,MINYAK MASAK SEBATIAN CAP PISAU,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,39.02368421052631,38.6441304347826,38.37452380952381,36.05,38.494255319148934,38.63787234042553
263,MINYAK MASAK TULEN CAP BURUH,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,30.873207547169805,30.8737037037037,30.882830188679243,30.9,30.876181818181816,30.87480769230769
266,MINYAK MASAK TULEN CAP SERI MURNI,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,30.89868421052632,30.89875,30.898765432098767,30.9,30.89875,30.900000000000002
267,MINYAK MASAK TULEN CAP VESAWIT,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,6.8999999999999995,6.8999999999999995,6.9,6.9,6.9,6.900000000000001
271,MINYAK SAPI CAP QBB,400 g,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,32.60208333333333,32.4972,32.66458333333333,,32.455769230769235,32.22708333333333
272,ROTI SANDWICH GARDENIA ORIGINAL CLASSIC,400 g,BARANGAN BERBUNGKUS,ROTI,3.0,3.0,3.0,,3.0,3.0
292,UBAT GIGI COLGATE (PUDINA SEGAR),250 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,13.375742574257426,,,,13.35721153846154,
293,UBAT GIGI DARLIE DOUBLE ACTION (PUDINA ASLI),250 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,13.188285714285715,,,,13.25225,
295,UBAT GIGI FRESH & WHITE (PUDINA SEGAR),160 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,6.017241379310345,,,,6.015178571428572,
299,LACTOGEN 1 RUMUSAN BAYI (KOTAK),650g,SUSU DAN BARANGAN BAYI,SUSU BAYI,26.752525252525253,26.765384615384615,26.778095238095236,,26.817757009345794,26.79245283018868
300,LACTOGEN 2 RUMUSAN SUSULAN (KOTAK),650g,SUSU DAN BARANGAN BAYI,SUSU BAYI,26.658163265306122,26.715999999999998,26.732323232323232,,26.748,26.71326530612245
320,SUSU SEJAT PENUH KRIM CAP IDEAL,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,5.212592592592593,5.281935483870968,5.275806451612904,,5.275806451612904,5.281333333333333
327,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',1kg,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,49.432391304347824,49.414716981132074,49.55722222222222,,49.39982142857143,49.340555555555554
332,SUSU TEPUNG SEGERA FERNLEAF (INSTANT),550 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,16.908,17.196875,17.0875,,17.0875,17.130555555555556
334,SUSU ANLENE ACTIFIT 3X PERISA ASLI,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,21.123084112149535,21.125840707964603,21.136206896551727,,21.136016949152545,21.111810344827585
335,SUSU ANLENE GOLD 5X,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,25.68141592920354,25.678333333333335,25.665546218487393,,25.724,25.795238095238094
336,ANMUM MATERNA (BIASA/COKLAT),650g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,38.33083333333334,38.266,38.265,,38.165000000000006,38.20583333333334
343,KULIT KAYU MANIS,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),4.382592592592593,4.394137931034483,4.397857142857143,,4.3707692307692305,4.441851851851852
344,SUSU TEPUNG SEGERA EVERYDAY,550 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,20.565384615384616,20.564492753623185,20.56811594202898,,20.573703703703703,20.595075757575756
345,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,33.519140625,33.53947368421053,33.5875,,33.60827338129496,33.580232558139535
346,REMPAH KURMA (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),3.5,3.5,3.5,,3.5,3.5
350,SERBUK KARI IKAN BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.499127906976744,5.48968253968254,5.493121693121694,,5.4968085106382985,5.498360655737705
360,SUP BUNJUT ADABI,8 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.4751322751322753,1.4794117647058822,1.4771844660194176,,1.4781553398058251,1.4850746268656716
361,SUP PUNJUT MAK SITI,10 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.5222222222222221,1.5263157894736843,1.536842105263158,,1.536842105263158,1.5375
364,SERBUK CILI BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),7.011118421052632,7.009490445859873,7.016493506493506,,7.027266666666666,7.032483221476509
