item_code,item,unit,item_group,item_category,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-25,2023-04-27,2023-04-28,2023-04-29,2023-04-30
267,MINYAK MASAK TULEN CAP VESAWIT,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,6.9,,,,,6.9,,,,,,,6.9,,,6.9,,6.900000000000001,,,
271,MINYAK SAPI CAP QBB,400 g,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,37.3,37.3,33.64333333333333,37.3,37.3,37.3,37.3,33.81290322580645,37.3,37.3,37.3,37.3,37.3,37.3,34.00666666666667,37.3,37.3,34.236666666666665,37.3,34.31290322580645,,,
272,ROTI SANDWICH GARDENIA ORIGINAL CLASSIC,400 g,BARANGAN BERBUNGKUS,ROTI,,,3.0,,,,,3.0,,,,,,,3.0,,,3.0,,3.0,,,
292,UBAT GIGI COLGATE (PUDINA SEGAR),250 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,,,,,,,,,,,,,,13.574636363636364,,,,,
293,UBAT GIGI DARLIE DOUBLE ACTION (PUDINA ASLI),250 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,,,,,,,,,,,,,,13.360263157894737,,,,,
295,UBAT GIGI FRESH & WHITE (PUDINA SEGAR),160 g,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,,,,,,,,,,,,,,6.04561403508772,,,,,
299,LACTOGEN 1 RUMUSAN BAYI (KOTAK),650g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,27.10917525773196,,,,,27.098709677419357,,,,,,,27.300322580645165,,,27.43258064516129,,27.453666666666667,,,
300,LACTOGEN 2 RUMUSAN SUSULAN (KOTAK),650g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,27.208659793814434,,,,,27.332555555555555,,,,,,,27.561612903225807,,,27.582947368421053,,27.620978260869567,,,
320,SUSU SEJAT PENUH KRIM CAP IDEAL,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,5.2727272727272725,,,,,5.264411764705883,,,,,,,5.295428571428571,,,5.302727272727273,,5.306129032258065,,,
327,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',1kg,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,49.56285714285714,,,,,49.45730769230769,,,,,,,49.46692307692308,,,49.51208333333333,,49.60829787234043,,,
332,SUSU TEPUNG SEGERA FERNLEAF (INSTANT),550 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,17.185714285714287,,,,,17.392857142857142,,,,,,,17.323076923076922,,,17.323076923076922,,17.323076923076922,,,
334,SUSU ANLENE ACTIFIT 3X PERISA ASLI,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,21.12263157894737,,,,,21.131296296296295,,,,,,,21.128785046728968,,,21.131801801801803,,21.134678899082566,,,
335,SUSU ANLENE GOLD 5X,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,25.98252032520325,,,,,25.976271186440677,,,,,,,25.972268907563024,,,26.024,,26.034959349593496,,,
336,ANMUM MATERNA (BIASA/COKLAT),650g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,38.08741935483871,,,,,38.1003125,,,,,,,38.122903225806446,,,38.19121212121212,,38.19121212121212,,,
343,KULIT KAYU MANIS,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),,,4.7909999999999995,,,,,4.800967741935484,,,,,,,4.647666666666667,,,4.637666666666666,,4.5582142857142856,,,
