item_code,item,unit,item_group,item_category,2023-02-02,2023-02-06,2023-02-07,2023-02-08,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28
1400,BAWANG PERAI (LEEK) IMPORT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,15.829999999999998,,,,,,,15.197999999999999,,,,,14.133333333333333,,,,,,,14.1,
1402,HORLICKS (PAKET),400 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,13.22482142857143,,,,,,,,
1412,KUBIS PANJANG CHINA - BESAR,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.7,,,,,,,6.627272727272728,,,,,6.575,,,,,,,6.376923076923077,
1419,KACANG DAL BIASA (INDIA),1kg,BARANGAN KERING,KACANG,6.777777777777778,,,,,,,6.777777777777778,,,,,7.111111111111111,,,,,,,7.111111111111111,
1420,KACANG DAL MALAVI (INDIA),1kg,BARANGAN KERING,KACANG,8.133333333333333,,,,,,,8.133333333333333,,,,,8.133333333333333,,,,,,,8.133333333333333,
1422,KACANG DAL (AUSTRALIA),1kg,BARANGAN KERING,KACANG,4.747424242424242,,4.99,4.99,3.69,3.69,3.69,4.737575757575757,3.69,3.69,3.69,3.69,4.75264705882353,3.69,3.69,3.69,3.69,3.69,3.69,4.76768115942029,3.69
1436,IKAN KERISI (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,17.758823529411764,,,,,,,17.425,,,,,18.36875,,,,,,,17.92142857142857,
1437,IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,21.185714285714283,,,,,,,20.955555555555552,,,,,20.951999999999998,,,,,,,20.991999999999997,
1438,IKAN TENGGIRI BATANG (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,42.5,,,,,,,41.333333333333336,,,,,41.75,,,,,,,44.6,
1440,BAWANG BESAR IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,4.323854166666666,,2.95,2.95,2.95,2.95,2.95,4.29,2.95,2.95,2.95,2.95,4.244845360824742,2.95,2.95,2.95,2.95,2.95,2.95,4.220707070707071,2.95
1441,BAWANG BESAR IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG,3.6,,,,,,,3.5666666666666664,,,,,3.5666666666666664,,,,,,,3.8,
1442,BAWANG KECIL MERAH BIASA IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,4.726184210526315,,,,3.29,3.29,3.29,4.595810810810811,3.29,3.29,3.29,3.29,4.599866666666667,3.29,3.29,3.29,3.29,3.29,3.29,4.6025,3.29
1443,BAWANG KECIL MERAH IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG,4.066666666666666,,,,,,,6.5,,,,,8.625,,,,,,,7.44,
