item_code,item,unit,item_group,item_category,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-27,2024-08-28,2024-08-29,2024-08-30
1941,MINYAK MASAK TULEN CAP ALIF,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,13.252000000000002,,,,,,13.24,,,,,,,13.292307692307693,,,,,,,
1942,MINYAK MASAK TULEN CAP ALIF,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,30.156315789473684,,,,,,30.414736842105256,,,,,,,30.384499999999996,,,,,,,
1943,KACANG MERAH (IMPORT),1kg,BARANGAN KERING,KACANG,16.3,16.3,16.3,16.3,12.549999999999999,16.3,16.3,16.3,16.3,16.3,12.516363636363636,16.3,16.3,16.3,16.3,16.3,16.3,12.542857142857143,16.3,16.3,15.1,16.3,16.3,16.3,16.3
1944,KACANG SOYA (IMPORT),1kg,BARANGAN KERING,KACANG,6.25,6.25,6.19,6.19,7.0451428571428565,6.19,6.19,6.19,6.19,6.19,6.949473684210526,6.19,6.19,6.19,6.19,6.19,6.19,6.810540540540541,6.19,6.19,6.73,6.19,6.19,6.19,6.19
1945,TAUHU (JENIS KERAS),sekeping,BARANGAN SEGAR,TAUHU DAN TEMPE,0.79,0.79,0.79,0.79,0.6696000000000001,0.79,0.79,0.79,0.79,0.79,0.6598,0.79,0.79,0.79,0.79,0.79,0.79,0.6671428571428571,0.79,0.79,0.79,0.79,0.79,0.79,0.79
1946,TEMPE (BUNGKUSAN PLASTIK),sekeping,BARANGAN SEGAR,TAUHU DAN TEMPE,1.85,1.85,1.85,1.85,1.45,1.85,1.85,1.69,1.69,1.69,1.4453571428571428,1.69,1.69,1.69,1.69,1.69,1.69,1.4667857142857144,1.69,1.69,1.2966666666666666,1.69,1.69,1.69,1.69
1947,SERBUK PENAIK ROYAL (TIN),113g,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,,,,6.075106382978722,,,,,,6.066599999999999,,,,,,,6.096382978723404,,,5.99,,,,
1948,RAGI BULAT/RAGI TAPAI,1 biji,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,,,,1.4142857142857144,,,,,,1.4142857142857144,,,,,,,1.342857142857143,,,,,,,
1949,ROTI WHOLEMEAL (PELBAGAI JENAMA),400 g,BARANGAN BERBUNGKUS,ROTI,,,,,4.9,,,,,,5.1000000000000005,,,,,,,5.5,,,,,,,
1950,BUNGA RAYA YIS SEGERA,11g,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,,,,1.3285714285714287,,,,,,1.325,,,,,,,1.325,,,,,,,
