item_code,item,unit,item_group,item_category,2022-05-11,2022-05-12
1215,SAYUR KAILAN IKAN MASIN,sepiring,MAKANAN SIAP MASAK,LAUK,6.447368421052632,6.0
1216,SAYUR KANGKUNG GORENG BELACAN,sepiring,MAKANAN SIAP MASAK,LAUK,5.413043478260869,6.0
1232,TELUR MATA KERBAU,sebiji,MAKANAN SIAP MASAK,LAUK,1.1271428571428572,1.5
1233,TELUR DADAR,sebiji,MAKANAN SIAP MASAK,LAUK,1.338888888888889,
1234,TELUR BISTIK,1 set,MAKANAN SIAP MASAK,LAUK,6.0,
1235,TELUR SETENGAH MASAK,sebiji,MAKANAN SIAP MASAK,LAUK,1.212162162162162,1.0
1236,TELUR REBUS,sebiji,MAKANAN SIAP MASAK,LAUK,1.1846153846153844,1.0
1237,TELUR MASIN,sebiji,MAKANAN SIAP MASAK,LAUK,1.98125,
1238,SUP AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,7.495,
1239,SUP DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,7.125,
1241,SUP CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,6.95,
1242,TOM YAM CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,9.375,
1243,TOM YAM AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,10.833333333333334,
1244,TOM YAM DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,10.0,
1245,TOM YAM UDANG,semangkuk,MAKANAN SIAP MASAK,LAUK,12.8,
1246,TOM YAM SOTONG,semangkuk,MAKANAN SIAP MASAK,LAUK,10.0,
1247,MAGGI GORENG,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN,5.285714285714286,
1248,MAGGI SUP,semangkuk,MAKANAN SIAP MASAK,LAIN-LAIN,4.95,
1250,ROTI TELUR,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.5,
1252,KUIH LAPIS,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,1.0,
1254,PAU KACANG MERAH,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,1.7515151515151515,
1255,PAU AYAM,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,2.2857142857142856,
1256,PAU KAYA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,1.7919999999999998,
1264,AYAM SOS LEMON,sepiring,MAKANAN SIAP MASAK,LAUK,6.24,
1265,SOTONG GORENG ASAM,sepiring,MAKANAN SIAP MASAK,LAUK,7.0,
1266,UDANG BUTTER,sepiring,MAKANAN SIAP MASAK,LAUK,16.125,
1277,SUP IKAN,semangkuk,MAKANAN SIAP MASAK,LAUK,9.75,
1278,SUP SAYUR MASIN,semangkuk,MAKANAN SIAP MASAK,LAUK,6.964285714285714,
1279,PAU DAGING,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,2.076923076923077,
1281,NASI BRIYANI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,8.0,
1285,AYAM MASAK KARI,seketul,MAKANAN SIAP MASAK,LAUK,3.8,
1292,ROTI BAWANG,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.5,
1293,ROTI BOOM,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.0,
1295,ROTI TISU,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,3.0,
1298,ROTI BAKAR,1 set,MAKANAN SIAP MASAK,LAIN-LAIN,1.7090909090909092,
1307,AIR SUAM,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,0.3828571428571429,
1309,Kopi Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.7373134328358208,1.5
1311,TEH 'O' LIMAU PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.8464285714285713,
1312,Teh Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.746456692913386,1.5
1314,TEH HALIA PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.177777777777778,
1315,NESCAFE PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.129850746268657,1.5
1317,NESLO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.471604938271605,
1318,HORLICKS PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.414705882352941,
1319,MILO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.1182481751824818,1.5
1320,BARLI PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.6139534883720932,
1321,MILO 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.0352,1.5
1322,AIR KOSONG,gelas besar,MAKANAN SIAP MASAK,MINUMAN,0.4103448275862069,
1339,JUS EPAL,segelas,MAKANAN SIAP MASAK,MINUMAN,3.41,
1340,JUS MANGGA,segelas,MAKANAN SIAP MASAK,MINUMAN,3.4166666666666665,
1341,JUS TEMBIKAI,segelas,MAKANAN SIAP MASAK,MINUMAN,3.7904761904761903,
1343,JUS BELIMBING,segelas,MAKANAN SIAP MASAK,MINUMAN,3.0,
1344,JUS LAICI,segelas,MAKANAN SIAP MASAK,MINUMAN,4.166666666666667,
1358,ROTI SARDIN,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,4.0,
