item_code,item,unit,item_group,item_category,2022-03-02,2022-03-03,2022-03-05
1210,UDANG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,15.142857142857142,,
1213,UDANG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,9.0,,
1214,SAYUR CAMPUR,sepiring,MAKANAN SIAP MASAK,LAUK,5.097916666666666,,
1215,SAYUR KAILAN IKAN MASIN,sepiring,MAKANAN SIAP MASAK,LAUK,6.065217391304348,,
1216,SAYUR KANGKUNG GORENG BELACAN,sepiring,MAKANAN SIAP MASAK,LAUK,5.603571428571429,,
1232,TELUR MATA KERBAU,sebiji,MAKANAN SIAP MASAK,LAUK,1.1420289855072463,1.0,
1233,TELUR DADAR,sebiji,MAKANAN SIAP MASAK,LAUK,1.2914285714285716,,
1234,TELUR BISTIK,1 set,MAKANAN SIAP MASAK,LAUK,6.0,,
1235,TELUR SETENGAH MASAK,sebiji,MAKANAN SIAP MASAK,LAUK,1.20125,1.1,
1236,TELUR REBUS,sebiji,MAKANAN SIAP MASAK,LAUK,1.1551724137931034,,
1237,TELUR MASIN,sebiji,MAKANAN SIAP MASAK,LAUK,1.9333333333333331,,
1238,SUP AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,7.111764705882353,,
1239,SUP DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,6.714285714285714,,
1241,SUP CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,6.75,,
1242,TOM YAM CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,8.75,,
1243,TOM YAM AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,10.0625,,
1244,TOM YAM DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,8.875,,
1245,TOM YAM UDANG,semangkuk,MAKANAN SIAP MASAK,LAUK,11.857142857142858,,
1246,TOM YAM SOTONG,semangkuk,MAKANAN SIAP MASAK,LAUK,9.375,,
1247,MAGGI GORENG,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN,5.333333333333333,,
1248,MAGGI SUP,semangkuk,MAKANAN SIAP MASAK,LAIN-LAIN,5.291666666666667,,
1250,ROTI TELUR,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.4,,
1252,KUIH LAPIS,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,1.0,,
1254,PAU KACANG MERAH,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,1.7638888888888888,1.7,
1255,PAU AYAM,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,2.2785714285714285,,
1256,PAU KAYA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,1.8038461538461539,1.7,
1264,AYAM SOS LEMON,sepiring,MAKANAN SIAP MASAK,LAUK,6.233333333333333,,
1265,SOTONG GORENG ASAM,sepiring,MAKANAN SIAP MASAK,LAUK,6.8,,
1266,UDANG BUTTER,sepiring,MAKANAN SIAP MASAK,LAUK,16.25,,
1277,SUP IKAN,semangkuk,MAKANAN SIAP MASAK,LAUK,10.071428571428571,,
1278,SUP SAYUR MASIN,semangkuk,MAKANAN SIAP MASAK,LAUK,7.1,,
1279,PAU DAGING,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,2.085185185185185,1.9,
1281,NASI BRIYANI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,8.0,,
1285,AYAM MASAK KARI,seketul,MAKANAN SIAP MASAK,LAUK,3.3333333333333335,,
1292,ROTI BAWANG,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.7,,
1295,ROTI TISU,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.7,,
1298,ROTI BAKAR,1 set,MAKANAN SIAP MASAK,LAIN-LAIN,1.6470588235294117,1.2,
1307,AIR SUAM,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,0.3851851851851852,0.3,0.3
1309,Kopi Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.7492857142857143,1.4,1.4
1311,TEH 'O' LIMAU PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.84390243902439,1.5,
1312,Teh Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.7285714285714286,1.4,1.4
1314,TEH HALIA PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.2,,
1315,NESCAFE PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.1294117647058823,1.75,1.5
1317,NESLO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.478048780487805,2.0,
1318,HORLICKS PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.4222222222222225,,
1319,MILO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.1094202898550725,1.75,1.5
1320,BARLI PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.6377777777777778,1.5,1.4
1321,MILO 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.04251968503937,1.7,
1322,AIR KOSONG,gelas besar,MAKANAN SIAP MASAK,MINUMAN,0.41707317073170735,0.3,
1339,JUS EPAL,segelas,MAKANAN SIAP MASAK,MINUMAN,3.360869565217391,,
1340,JUS MANGGA,segelas,MAKANAN SIAP MASAK,MINUMAN,3.675,,
1341,JUS TEMBIKAI,segelas,MAKANAN SIAP MASAK,MINUMAN,3.8318181818181816,,
1343,JUS BELIMBING,segelas,MAKANAN SIAP MASAK,MINUMAN,3.2,,
1344,JUS LAICI,segelas,MAKANAN SIAP MASAK,MINUMAN,3.84,,
1358,ROTI SARDIN,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,4.0,,
1359,KOPI 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.5285714285714287,1.2,1.2
1360,TEH 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.4861313868613137,1.15,1.2
