item_code,item,unit,item_group,item_category,2024-11-01,2024-11-02,2024-11-03,2024-11-04,2024-11-05,2024-11-06,2024-11-07,2024-11-08,2024-11-09,2024-11-10,2024-11-11,2024-11-12,2024-11-13,2024-11-14,2024-11-17,2024-11-18,2024-11-19,2024-11-20,2024-11-21,2024-11-22,2024-11-23,2024-11-24,2024-11-25,2024-11-26,2024-11-27,2024-11-28,2024-11-29,2024-11-30
1373,DAGING LEMBU IMPORT (KNUCKLE),1kg,BARANGAN SEGAR,DAGING,,,,,,,,,,,,,,,,39.0,,,,,,,39.0,,,,,
1375,DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE),1kg,BARANGAN SEGAR,DAGING,,,,21.068571428571428,,,,,,,20.696666666666665,,,,,21.218888888888884,,,,,,,21.11777777777778,,,,,
1376,DAGING KERBAU IMPORT (INDIA) * (RUMP),1kg,BARANGAN SEGAR,DAGING,,,,19.766666666666666,,,,,,,21.075,,,,,21.725,,,,,,,21.766666666666666,,,,,
1377,DAGING KERBAU IMPORT (INDIA) * (BLADE),1kg,BARANGAN SEGAR,DAGING,,,,22.738333333333333,,,,,,,23.359230769230766,,,,,24.41238095238095,,,,,,,24.056818181818183,,,,,
1379,DAGING BABI (PERUT / BELLY),1kg,BARANGAN SEGAR,DAGING,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9
1380,DAGING BABI (DAGING & LEMAK / LEAN & FAT),1kg,BARANGAN SEGAR,DAGING,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9
1391,UDANG PUTIH BESAR/BANANA PRAWN (BERAT ANTARA 41 EKOR HINGGA 60 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,,37.0,,,,,35.0,,,,,,,35.0,,,,,
1396,KUBIS BULAT IMPORT (INDONESIA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99
1399,BAWANG PERAI (LEEK) TEMPATAN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,9.9,9.9,8.811428571428571,9.9,9.9,9.9,9.9,9.9,9.9,9.097142857142858,9.9,,,10.5,9.24,,10.5,10.5,10.5,,,8.97375,11.5,11.5,11.5,11.5,
1400,BAWANG PERAI (LEEK) IMPORT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.9,14.9,14.9,17.2325,14.9,14.9,14.9,14.9,20.5,20.5,17.195555555555554,17.2,17.2,17.2,16.7,17.50230769230769,16.7,20.5,20.5,20.5,16.2,16.2,17.035999999999998,16.2,16.2,16.2,16.2,16.5
1412,KUBIS PANJANG CHINA - BESAR,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.245,4.99,6.245,6.364468085106383,6.245,5.49,4.96,4.99,4.96,5.293333333333334,6.285227272727273,5.16,5.16,5.16,4.49,6.166304347826086,4.293333333333334,4.493333333333333,4.463333333333334,4.263333333333333,4.263333333333333,4.293333333333334,5.997045454545455,4.293333333333334,4.293333333333334,4.293333333333334,4.293333333333334,3.99
1419,KACANG DAL BIASA (INDIA),1kg,BARANGAN KERING,KACANG,,,,5.728571428571429,,,,,,,6.3536363636363635,,,,,6.3536363636363635,,,,,,,6.468999999999999,,,,,
1420,KACANG DAL MALAVI (INDIA),1kg,BARANGAN KERING,KACANG,14.9,16.5,16.5,13.388947368421054,16.5,16.5,16.5,16.5,16.5,,12.842380952380953,16.5,16.5,16.5,16.5,12.949545454545454,16.5,16.5,16.5,16.5,16.5,16.5,12.92681818181818,16.5,16.5,16.5,16.5,16.5
1422,KACANG DAL (AUSTRALIA),1kg,BARANGAN KERING,KACANG,5.0,5.0,5.0,4.822280701754386,5.0,4.633333333333334,4.633333333333334,4.633333333333334,4.633333333333334,4.633333333333334,4.821140350877193,4.633333333333334,4.633333333333334,4.633333333333334,4.633333333333334,4.8265573770491805,4.633333333333334,4.633333333333334,4.633333333333334,4.633333333333334,4.633333333333334,4.633333333333334,4.851788617886179,4.633333333333334,4.633333333333334,4.633333333333334,4.633333333333334,4.633333333333334
1436,IKAN KERISI (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,15.399999999999999,15.45,15.95,16.599811320754718,15.95,,19.9,19.9,18.45,15.9,16.709215686274508,16.2,15.9,15.9,17.133333333333333,16.858771929824563,17.95,16.266666666666666,16.133333333333333,16.133333333333333,16.133333333333333,17.95,16.605,15.9,15.9,16.75,16.466666666666665,15.9
1437,IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,19.418599999999998,15.9,15.9,15.9,15.9,15.9,15.9,19.641764705882352,15.9,15.9,14.9,14.9,19.394814814814815,,,,,,14.9,18.833157894736843,14.9,14.9,14.9,14.9,14.9
