item_code,item,unit,item_group,item_category,2022-04-01,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-04-28,2022-04-29,2022-04-30
1402,HORLICKS (PAKET),400 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,13.086122448979593,,13.8,
1412,KUBIS PANJANG CHINA - BESAR,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.8500000000000005,6.49,6.358333333333333,6.476923076923077,6.6,,6.45,7.0
1419,KACANG DAL BIASA (INDIA),1kg,BARANGAN KERING,KACANG,,6.714285714285714,6.714285714285714,6.033333333333334,5.757142857142857,,6.3875,
1420,KACANG DAL MALAVI (INDIA),1kg,BARANGAN KERING,KACANG,,8.7,8.7,8.45,8.55,,8.600000000000001,
1422,KACANG DAL (AUSTRALIA),1kg,BARANGAN KERING,KACANG,4.633333333333334,4.312121212121212,4.370422535211268,4.365714285714286,4.3462686567164175,,4.372058823529412,
1436,IKAN KERISI (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,16.935294117647057,17.445,18.026666666666664,17.3,,15.99,13.0
1437,IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,21.082608695652173,21.396,21.32962962962963,21.573076923076922,,21.513793103448275,21.0
1438,IKAN TENGGIRI BATANG (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,,43.2,41.875,41.0,41.111111111111114,,44.0,
1440,BAWANG BESAR IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,4.5,4.244776119402985,4.242857142857143,4.289333333333333,4.25,4.0,4.079518072289156,
1441,BAWANG BESAR IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG,,3.5,3.6399999999999997,3.5,3.25,,3.5,
1442,BAWANG KECIL MERAH BIASA IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,7.5,5.071698113207548,5.425862068965517,5.38135593220339,5.384615384615385,,5.379032258064516,
1443,BAWANG KECIL MERAH IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG,,5.0,5.0,5.0,5.0,,4.5,
