item_code,item,unit,item_group,item_category,2022-05-09,2022-05-11,2022-05-13,2022-05-16,2022-05-20,2022-05-23,2022-05-25,2022-05-27,2022-05-30
192,SARDIN CAP KING CUP (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,3.7636363636363632,,3.759423076923077,3.7375,,3.762741935483871,,3.8289999999999997,3.7698412698412698
193,SARDIN CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,7.933095238095238,,7.97072463768116,7.666666666666667,,7.933717948717949,,8.0,7.9436
195,MACKAREL CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,9.077581699346405,,9.085529411764705,9.108333333333334,8.883333333333335,9.130194805194805,,9.192307692307692,9.138417721518987
197,MACKAREL CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.100000000000001,,8.260000000000002,,8.2,8.290000000000001,,,8.366666666666667
199,TUNA CAP TC BOY (SANDWICH DELITE),150 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,5.6,,5.6,,,5.6,,,5.6
201,JEM STRAWBERI LADY'S CHOICE,400 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),8.53037037037037,,8.632962962962964,8.435416666666667,8.4,8.5368,,8.35,8.529387755102041
202,SERI KAYA YEO'S,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),6.309803921568627,,6.2875,6.384444444444445,5.5,6.364761904761905,,6.053846153846154,6.406741573033709
203,MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),11.64,,11.799999999999999,11.316666666666668,,11.647222222222222,,12.433333333333332,11.5
204,KRAFT HI - CALCIUM SINGLES PROCESSED CHEESE 12 SLICES,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),13.24,,13.24,,,13.24,,13.175,13.5
205,MARJERIN DAISY,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),7.926162790697674,,7.872033898305085,8.075000000000001,,8.009550561797752,,7.986111111111111,8.07857142857143
206,MARJERIN PLANTA,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),9.814276729559749,,9.782207792207792,9.876071428571429,8.9475,9.868282208588957,,9.93235294117647,9.845496688741722
212,KICAP TAMIN (DARK SOY SAUCE),330 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.8238095238095235,,4.866666666666667,4.5,,4.825,,,4.788888888888889
214,KICAP LEMAK MANIS CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.674873096446701,,5.74746835443038,5.6364406779661005,5.666666666666667,5.675388601036269,,6.216666666666666,5.657068062827225
215,KICAP LEMAK MANIS CAP JALEN,650 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,6.527906976744186,,6.617391304347826,6.466666666666666,6.2,6.5,,,6.524719101123596
