item_code,item,unit,item_group,item_category,2022-10-03,2022-10-07,2022-10-10,2022-10-11,2022-10-13,2022-10-17,2022-10-19,2022-10-20,2022-10-21,2022-10-22,2022-10-23,2022-10-24,2022-10-26,2022-10-31
1138,SOS TIRAM MAGGI,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.498563535911602,5.554845360824743,5.462435897435897,,,5.507486631016043,,5.457096774193549,5.458125,5.5,5.452083333333333,5.673863636363636,,5.51688524590164
1139,SOS TOMATO LIFE,330 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.4515000000000002,3.5681481481481483,3.425,,,3.458571428571428,,3.503333333333333,3.4408695652173913,3.15,3.314285714285714,3.775,,3.4670689655172415
1140,MARJERIN PLANTA,240 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),6.874034090909091,6.851494252873564,6.9143678160919535,,,6.90425287356322,,7.031851851851853,6.9371875,6.966666666666666,6.932075471698113,6.81923076923077,,6.962571428571429
1141,MARJERIN DAISY,240 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),5.1975999999999996,5.189516129032258,5.173947368421052,,,5.221818181818183,,5.1258333333333335,5.2811111111111115,4.85,5.32,5.0600000000000005,,5.184148936170213
1142,SARDIN CAP ADABI (SOS TOMATO DENGAN CILI),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.484246575342466,8.492592592592594,8.501818181818182,,,8.511756756756757,,8.635,8.477826086956522,8.9,8.475,8.66,,8.595769230769232
1144,MENTEGA KACANG HALUS LADY'S CHOICE,340 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),13.209493670886076,13.228,13.201666666666666,,,13.225324675324675,,13.096428571428572,13.255882352941176,,13.19375,13.174999999999999,,13.186184210526315
1145,NESTLE CERELAC BERAS - TIN,500 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,14.697875,14.771914893617023,14.5984375,,,14.69453488372093,,14.262500000000001,14.69111111111111,14.7,14.850000000000001,14.758636363636363,,14.70270588235294
1151,SANTAN KELAPA JENAMA AYAM BRAND,1 liter,BARANGAN BERBUNGKUS,SANTAN (KOTAK),11.589745222929936,11.552637362637363,11.588548387096774,,,11.56974358974359,,11.5295,11.598387096774195,11.4,11.64186046511628,11.478125,,11.576558441558442
1153,PERENCAH TOM YAM ADABI,40 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),2.031548387096774,1.9802702702702701,2.0768750000000002,,,2.038,,2.0288461538461537,1.9763829787234042,1.9,2.1150943396226416,2.025,,2.039290322580645
1355,100 PLUS (ORIGINAL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,3.8375,3.9040425531914895,,3.817241379310345,3.9078947368421053,,
