item_code,item,unit,item_group,item_category,2022-06-03,2022-06-04,2022-06-05,2022-06-13,2022-06-14,2022-06-20,2022-06-27
327,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',1kg,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,47.2246875,,47.127826086956524,47.16482142857143,43.0,47.08821428571429,47.149811320754715
332,SUSU TEPUNG SEGERA FERNLEAF (INSTANT),550 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,16.485714285714288,,16.32,16.46153846153846,,16.473125,16.538
334,SUSU ANLENE ACTIFIT 3X PERISA ASLI,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,21.161805555555556,20.5,21.003125,21.11809523809524,,21.126201550387595,21.119374999999998
335,SUSU ANLENE GOLD 5X,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,24.112676056338028,,24.1135593220339,24.2076,23.8,24.280307692307694,24.326048387096773
336,ANMUM MATERNA (BIASA/COKLAT),650g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,38.16818181818182,,38.545,38.1640625,36.5,38.18636363636364,38.17
343,KULIT KAYU MANIS,100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),4.666666666666667,,4.403846153846154,4.564444444444444,,4.480833333333334,4.555384615384615
344,SUSU TEPUNG SEGERA EVERYDAY,550 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,20.138732394366198,,20.089629629629627,20.104687499999997,,20.156060606060606,20.203007518796994
345,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,32.20493333333333,,32.20193548387097,32.253787878787875,30.9,32.38062015503876,32.49507936507936
346,REMPAH KURMA (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),3.5,,,3.5,,3.5,3.5
347,REMPAH SUP (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),,,6.0,6.0,,6.0,6.0
350,SERBUK KARI IKAN BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.004,4.6,4.982954545454546,5.014715909090909,,5.020055865921787,5.04994623655914
