item_code,item,unit,item_group,item_category,2022-03-07,2022-03-14,2022-03-21,2022-03-22,2022-03-28
1144,MENTEGA KACANG HALUS LADY'S CHOICE,340 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),13.071290322580644,13.095777777777778,13.106434108527132,,13.112047244094489
1145,NESTLE CERELAC BERAS - TIN,500 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,14.33676923076923,14.343692307692308,14.341832061068702,,14.30869918699187
1151,SANTAN KELAPA JENAMA AYAM BRAND,1 liter,BARANGAN BERBUNGKUS,SANTAN (KOTAK),11.486123595505617,11.515195530726256,11.517640449438202,,11.512298850574712
1153,PERENCAH TOM YAM ADABI,40 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.7717557251908396,1.78472,1.7778125,,1.7837984496124033
1355,100 PLUS (ORIGINAL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,3.6182786885245903
1371,DAGING LEMBU IMPORT (BLADE),1kg,BARANGAN SEGAR,DAGING,44.096666666666664,44.65,44.745000000000005,,44.65
1373,DAGING LEMBU IMPORT (KNUCKLE),1kg,BARANGAN SEGAR,DAGING,38.43333333333333,33.7,47.9,,
1375,DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE),1kg,BARANGAN SEGAR,DAGING,17.953333333333333,17.953333333333333,18.244999999999997,,19.994999999999997
1376,DAGING KERBAU IMPORT (INDIA) * (RUMP),1kg,BARANGAN SEGAR,DAGING,20.45,18.633333333333333,18.633333333333333,,18.633333333333333
1377,DAGING KERBAU IMPORT (INDIA) * (BLADE),1kg,BARANGAN SEGAR,DAGING,21.874,21.49333333333333,21.49333333333333,,21.49333333333333
1378,DAGING KERBAU IMPORT (INDIA) * (CHUCK),1kg,BARANGAN SEGAR,DAGING,23.845,24.159999999999997,24.744999999999997,,24.744999999999997
1391,UDANG PUTIH BESAR/BANANA PRAWN (BERAT ANTARA 41 EKOR HINGGA 60 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,42.9,39.9,,39.9
1396,KUBIS BULAT IMPORT (INDONESIA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.5,,,,
1399,BAWANG PERAI (LEEK) TEMPATAN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.45,7.45,6.9,,6.875
1400,BAWANG PERAI (LEEK) IMPORT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.265384615384615,14.420833333333334,14.238333333333332,,13.111666666666666
1402,HORLICKS (PAKET),400 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,12.7,,12.756168224299067
1412,KUBIS PANJANG CHINA - BESAR,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.335,6.386666666666667,6.1185,,6.51047619047619
1419,KACANG DAL BIASA (INDIA),1kg,BARANGAN KERING,KACANG,5.29875,5.265555555555555,4.78625,,5.198888888888889
1420,KACANG DAL MALAVI (INDIA),1kg,BARANGAN KERING,KACANG,8.913333333333332,8.913333333333332,8.85625,,8.85625
1422,KACANG DAL (AUSTRALIA),1kg,BARANGAN KERING,KACANG,4.176774193548387,4.21021978021978,4.204888888888889,,4.239090909090908
1431,DAGING LEMBU TEMPATAN (BAHAGIAN 1 DAGING PAHA (KECUALI BATANG PINANG - TENDERLOIN),1kg,BARANGAN SEGAR,DAGING,36.0,36.0,36.0,,36.0
1432,DAGING LEMBU TEMPATAN (BAHAGIAN 2 DAGING PEJAL (KECUALI BATANG PINANG - TENDERLOIN),1kg,BARANGAN SEGAR,DAGING,36.0,36.0,36.0,,36.0
1436,IKAN KERISI (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,17.175161290322578,17.207631578947368,16.8725,,17.606060606060606
1437,IKAN SIAKAP (ANTARA 2 HINGGA 4 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,20.931052631578947,21.052222222222223,21.213333333333335,,21.281904761904762
