item_code,item,unit,item_group,item_category,2022-04-01,2022-04-04,2022-04-05,2022-04-11,2022-04-18,2022-04-25,2022-04-29,2022-04-30
203,MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),10.933333333333332,11.112666666666668,,11.144931506849316,11.189036144578314,11.189764705882354,11.21505882352941,
204,KRAFT HI - CALCIUM SINGLES PROCESSED CHEESE 12 SLICES,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),13.5,12.34,,12.339333333333334,12.362666666666666,12.329428571428572,12.3884375,
205,MARJERIN DAISY,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),7.76,8.003467741935484,,7.998671875,8.039847328244274,8.056363636363637,8.044923076923077,
206,MARJERIN PLANTA,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),9.6,9.701989528795812,9.7,9.700606060606061,9.731275510204082,9.724705882352941,9.706526315789473,
212,KICAP TAMIN (DARK SOY SAUCE),330 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.2,4.24625,,4.2046511627906975,4.2024390243902445,4.263513513513513,4.25,
214,KICAP LEMAK MANIS CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.574999999999999,5.550561797752809,,5.547979797979798,5.556820512820512,5.557014925373134,5.55718085106383,
215,KICAP LEMAK MANIS CAP JALEN,650 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,6.185714285714286,6.582213740458015,7.2,6.534609929078014,6.51051094890511,6.5281617647058825,6.517440000000001,
217,SOS TOMATO MAGGI,325 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.25,3.254923076923077,3.4,3.2646305418719215,3.2725365853658537,3.290094786729858,3.2925870646766167,
218,SOS CILI LIFE,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,,3.3484905660377358,,3.342830188679245,3.325849056603774,3.3402040816326535,3.3629545454545453,
221,DRINHO SOYA (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,,,,,,1.0788888888888888,,
224,SUSU SEGAR DUTCH LADY,1 liter,MINUMAN,TERSEDIA MINUM,,,,,,8.34451612903226,,
225,SUSU MARIGOLD HL,1 liter,MINUMAN,TERSEDIA MINUM,,,,,,7.416224489795918,,
226,YEO'S LAICI (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,,,,,,1.0789230769230769,,
228,COCA COLA (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,3.5125333333333333,3.6,
229,F&N OREN (TIN),325 ml,MINUMAN,TERSEDIA MINUM,,,,,,1.5475999999999999,,
230,F&N OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,3.2213432835820894,,
232,MIRINDA OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,3.5124,,
235,JUS OREN PEEL FRESH (MARIGOLD),1 liter,MINUMAN,TERSEDIA MINUM,,,,,,5.912446808510638,,
236,JUS OREN SUNKIST,1 liter,MINUMAN,TERSEDIA MINUM,,,,,,5.991666666666667,,
239,RED BULL (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,,,,,,1.9577272727272728,1.8,
240,LIVITA WITH HONEY (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,,,,,,2.2395555555555555,,
246,MINYAK JAGUNG CAP MAZOLA,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,14.766666666666666,14.795076923076923,,14.828484848484848,14.845151515151516,14.855757575757575,14.845573770491804,
