item_code,item,unit,item_group,item_category,2022-11-01,2022-11-02,2022-11-03,2022-11-04,2022-11-05,2022-11-06,2022-11-07,2022-11-08,2022-11-09,2022-11-10,2022-11-11,2022-11-12,2022-11-13,2022-11-14,2022-11-15,2022-11-16,2022-11-17,2022-11-20,2022-11-21,2022-11-22,2022-11-23,2022-11-24,2022-11-25,2022-11-26,2022-11-27,2022-11-29,2022-11-30
1907,DAGING KAMBING BEBIRI IMPORT BERTULANG (LAMB) (AUSTRALIA - KOTAK) (1KG),1kg,BARANGAN SEGAR,DAGING,,,,,,,48.541428571428575,,,,,,,48.29875,,,,,48.11125,,,,,,,47.97666666666667,
1908,DAGING KAMBING BEBIRI IMPORT BERTULANG (LAMB) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,43.2,,,,,,,43.2,,,,,43.2,,,,,,,43.2,
1914,DAGING KERBAU IMPORT (INDIA) (BLOCK),1kg,BARANGAN SEGAR,DAGING,,,,,,,21.380000000000003,,,,,,,20.56,,,,,20.166666666666668,,,,,,,20.52,
1915,IKAN JENAHAK (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,42.4,44.9,,39.9,39.9,39.9,42.78333333333333,42.4,39.9,44.9,39.9,39.9,39.9,44.675,44.9,44.9,44.9,44.9,44.45,44.9,44.9,44.9,44.9,44.9,44.9,43.95,
1916,IKAN DEMUDUK/CUPAK/CERMIN (b	$ 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,31.725,,,,,,,30.0,,,,,33.9,,,,,,,32.300000000000004,
1917,IKAN PARANG (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,,31.9,31.9,,,,22.9,,26.9,26.9,26.9,,26.9,26.9,26.9,26.9,,,,,,,,25.9,25.9,22.9,25.9
1918,IKAN TERUBOK (b	$ 4 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,,,,,29.5,,,,,33.8,,,,,,,35.9,
1919,UDANG PUTIH BESAR (ANTARA 20 HINGGA 30 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,40.9,,,,,,,,,,,,,,,,,,,39.9,
1920,KERANG (SAIZ SEDERHANA),1kg,BARANGAN SEGAR,BAHAN LAUT,15.0,15.0,15.0,15.0,15.0,15.0,15.893333333333333,15.0,15.0,15.0,15.0,15.0,15.0,15.834117647058823,15.0,15.0,15.0,14.5,15.805,14.5,14.5,15.0,15.0,15.0,15.0,15.806363636363637,15.0
1921,IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,13.9,13.9,13.9,13.9,13.9,13.9,16.07,13.9,13.9,13.9,13.9,13.9,13.9,15.8532,13.9,13.9,13.9,13.9,16.326190476190476,13.9,13.9,13.9,13.9,13.9,13.9,16.3292,13.9
1922,SADERI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.45,10.299999999999999,9.266666666666667,9.45,9.266666666666667,10.6,8.955272727272728,9.45,9.266666666666667,9.266666666666667,9.45,9.45,9.45,9.209152542372882,9.266666666666667,9.266666666666667,9.266666666666667,9.266666666666667,9.261509433962264,9.266666666666667,8.95,9.45,8.95,10.0,9.95,9.093148148148147,9.95
1923,TERUNG BULAT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.4,8.4,8.4,8.4,8.4,7.4,8.112499999999999,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005,7.6000000000000005,8.280204081632654,7.6000000000000005,7.6000000000000005,7.6000000000000005,8.45,8.844883720930232,8.45,,,,,,9.237560975609757,
1924,SERBUK KUNYIT ALAGAPPAS,230g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,,,,,4.725,,,,,,,4.433333333333334,,,,,4.685714285714285,,,,,,,4.685714285714285,
1925,CILI API/PADI MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,27.9,27.9,27.9,27.9,27.9,38.95,27.9,27.9,,,,,42.5,,,,,42.5,,,,,,,42.5,
1926,CILI AKAR HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.566666666666666,16.566666666666666,16.566666666666666,16.566666666666666,16.566666666666666,16.566666666666666,15.757361111111111,16.566666666666666,16.566666666666666,14.9,15.899999999999999,14.9,14.9,15.886111111111111,14.9,14.9,14.9,14.9,15.87142857142857,14.9,14.9,14.9,14.9,14.9,14.9,15.656578947368422,14.9
1927,CILI AKAR MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.9,16.9,16.9,16.9,16.9,16.9,22.14057692307692,16.9,16.9,14.9,14.9,14.9,14.9,23.122830188679245,14.9,14.9,,14.9,21.915106382978724,14.9,14.9,14.9,14.9,14.9,14.9,21.66711111111111,14.9
1928,LIMAU KASTURI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.299999999999999,9.299999999999999,9.299999999999999,9.299999999999999,9.299999999999999,9.299999999999999,9.519673913043478,10.2,10.9,10.100000000000001,9.299999999999999,9.299999999999999,9.299999999999999,9.39,10.2,9.299999999999999,9.299999999999999,8.966666666666667,8.975555555555555,8.966666666666667,8.966666666666667,8.966666666666667,8.966666666666667,8.966666666666667,8.966666666666667,9.038295454545455,8.966666666666667
1929,SANTAN KELAPA SEGAR (PEKAT),1kg,BARANGAN SEGAR,KELAPA,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
1930,TELUR AYAM KAMPUNG,10 biji,BARANGAN SEGAR,TELUR,6.9,6.9,6.9,6.9,6.9,6.9,6.586111111111111,6.9,7.9,7.9,7.9,7.9,7.9,6.684782608695652,7.9,7.9,7.9,7.9,6.745294117647059,7.9,7.9,7.9,7.9,7.9,7.9,6.968000000000001,7.9
1931,BAWANG BESAR IMPORT (PAKISTAN),1kg,BARANGAN KERING,BAWANG,,,,,,,3.636086956521739,,,,,,,3.7665217391304346,,,,,3.8317391304347823,,,,,,,3.9219999999999997,
1936,MINYAK MASAK SEBATIAN CAP ADELA GOLD,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,,32.838235294117645,,,,,,,32.56666666666667,,,,,32.89375,,,,,,,32.242105263157896,
1937,MINYAK MASAK TULEN CAP SAJI,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,7.1,7.1,7.1,7.086363636363637,,,,,,,6.909523809523809,7.1,,,,6.9,,6.9,6.9,6.9,6.9,6.9,6.9,6.9
1938,MINYAK MASAK TULEN CAP SAJI,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,13.5,13.5,13.5,13.5,13.5,13.5,13.378800000000002,13.3,13.3,13.3,13.3,13.3,13.3,13.273333333333335,13.3,,,,13.236338028169014,,,,13.3,13.3,13.3,13.273114754098362,13.3
1939,MINYAK MASAK TULEN CAP SAJI,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,31.5,31.5,31.5,31.5,31.5,31.5,31.265934065934065,30.899999999999995,30.899999999999995,30.899999999999995,30.899999999999995,30.9,30.9,30.873947368421053,30.9,30.9,30.9,30.9,30.84747474747475,30.9,30.9,30.899999999999995,30.9,30.9,30.9,30.869374999999994,30.899999999999995
1940,MINYAK MASAK TULEN CAP ALIF,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,,7.099999999999999,,,,,,,6.8950000000000005,,,,,6.894,,,,,,,6.896666666666667,
1941,MINYAK MASAK TULEN CAP ALIF,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,,,13.497,,,,,,,13.297142857142857,,,,,13.299090909090909,,,,,,,13.3,
1942,MINYAK MASAK TULEN CAP ALIF,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,31.5,,,30.9455,,,,,,,30.65405405405405,,,,,30.674722222222222,,,,,,,30.611904761904757,30.9
1943,KACANG MERAH (IMPORT),1kg,BARANGAN KERING,KACANG,14.9,14.9,14.9,14.9,14.9,14.9,13.835384615384616,14.9,14.9,14.9,14.9,14.9,14.9,13.904461538461538,14.9,14.9,14.9,14.9,13.817142857142859,14.9,14.9,14.9,14.9,14.9,14.9,13.849154929577464,14.9
1944,KACANG SOYA (IMPORT),1kg,BARANGAN KERING,KACANG,6.0,6.0,6.0,6.0,6.0,6.0,7.070769230769231,6.0,6.0,6.0,6.0,6.0,6.0,7.067368421052632,6.0,6.0,6.0,6.0,7.101428571428571,6.0,6.0,6.0,6.0,6.0,6.0,7.2092307692307696,7.0
1945,TAUHU (JENIS KERAS),sekeping,BARANGAN SEGAR,TAUHU DAN TEMPE,0.6,0.6,0.6,0.6,0.6,0.6,0.6934375,0.6,0.6,0.6,0.6,0.6,0.6,0.6923188405797102,0.6,0.6,0.6,0.6,0.6905882352941176,0.6,0.6,0.6,0.6,0.6,0.6,0.6796923076923077,0.6
