item_code,item,unit,item_group,item_category,2022-01-01,2022-01-02,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31
190,SARDIN CAP AYAM (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,4.025822784810126,,4.0194230769230765,4.032448979591837,4.051849315068494,4.093892617449664,4.137007874015747
191,SARDIN CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.340258620689655,,8.342605042016807,8.378495575221239,8.460737704918033,8.554962406015036,8.633730158730158
192,SARDIN CAP KING CUP (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,3.5279611650485436,,3.5266336633663364,3.5251020408163263,3.528137254901961,3.536078431372549,3.554130434782609
193,SARDIN CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,7.390157480314961,,7.397674418604652,7.387272727272728,7.390084033613445,7.394396551724138,7.430666666666667
195,MACKAREL CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.325606060606061,,8.325656565656566,8.323526315789474,8.423220338983052,8.53543956043956,8.601296296296297
197,MACKAREL CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,7.572222222222223,,7.6625000000000005,7.705555555555555,7.7,7.7,7.675
199,TUNA CAP TC BOY (SANDWICH DELITE),150 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,5.768,,5.768,5.7475000000000005,5.753333333333334,5.753333333333334,5.8
201,JEM STRAWBERI LADY'S CHOICE,400 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),8.385,,8.3771,8.420105263157895,8.375510204081634,8.401075268817204,8.39289156626506
202,SERI KAYA YEO'S,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),5.814161073825503,,5.80945945945946,5.807862068965517,5.846095890410958,5.861666666666666,5.870935251798562
203,MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),11.00153846153846,,11.036538461538461,10.970987654320988,11.059342105263157,11.054878048780488,11.040394736842106
204,KRAFT HI - CALCIUM SINGLES PROCESSED CHEESE 12 SLICES,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),12.493888888888888,,12.487,12.619333333333334,12.538333333333334,12.540588235294118,12.508750000000001
205,MARJERIN DAISY,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),7.69108695652174,,7.687394366197182,7.693956834532375,7.707246376811594,7.72276119402985,7.7155725190839695
206,MARJERIN PLANTA,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),9.529861111111112,,9.514074074074074,9.503427230046949,9.496616915422887,9.511039603960397,9.528186813186814
212,KICAP TAMIN (DARK SOY SAUCE),330 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.289180327868852,,4.297924528301887,4.282830188679245,4.289591836734694,4.273846153846154,4.290612244897959
214,KICAP LEMAK MANIS CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.5289777777777775,,5.528646288209607,5.527579908675799,5.531293532338308,5.552525252525253,5.558
215,KICAP LEMAK MANIS CAP JALEN,650 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,6.5495744680851065,,6.544657534246575,6.541119402985075,6.563617021276596,6.5655,6.582977099236642
217,SOS TOMATO MAGGI,325 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.2204081632653065,,3.216666666666667,3.2143367346938776,3.215243243243243,3.2209900990099007,3.2145744680851065
218,SOS CILI LIFE,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.3192857142857144,,3.3047368421052634,3.3312765957446806,3.32425,3.32609756097561,3.318611111111111
221,DRINHO SOYA (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,1.076111111111111,,,,,1.0735,
224,SUSU SEGAR DUTCH LADY,1 liter,MINUMAN,TERSEDIA MINUM,7.930256410256411,,,,,7.905777777777778,
225,SUSU MARIGOLD HL,1 liter,MINUMAN,TERSEDIA MINUM,6.995405405405405,,,,,7.038448275862069,
226,YEO'S LAICI (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,1.0750704225352112,,,,,1.0652702702702703,
228,COCA COLA (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,3.5202298850574714,,,,,3.469506172839506,
229,F&N OREN (TIN),325 ml,MINUMAN,TERSEDIA MINUM,1.5519298245614037,,,,,1.536470588235294,
230,F&N OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,3.1244117647058824,,,,,3.170714285714286,
232,MIRINDA OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,3.5615217391304346,,,,,3.5767391304347824,
235,JUS OREN PEEL FRESH (MARIGOLD),1 liter,MINUMAN,TERSEDIA MINUM,5.803939393939395,,,,,5.812,
236,JUS OREN SUNKIST,1 liter,MINUMAN,TERSEDIA MINUM,5.59,,,,,5.716666666666666,
239,RED BULL (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,1.908125,,,,,1.8891304347826088,
240,LIVITA WITH HONEY (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,2.2741818181818183,,,,,2.2600000000000002,
246,MINYAK JAGUNG CAP MAZOLA,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,14.29879120879121,,14.283793103448277,14.354,14.370694444444446,14.348904109589041,14.399571428571429
254,MINYAK MASAK SEBATIAN CAP HELANG,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,36.089999999999996,,36.199473684210524,36.63513888888889,36.92014285714286,36.97861538461539,37.1690625
257,MINYAK MASAK SEBATIAN CAP NEPTUNE,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,34.340869565217396,,34.4195652173913,34.30714285714286,34.2275,34.2275,34.18736842105263
260,MINYAK MASAK SEBATIAN CAP PISAU,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,36.73361111111111,,36.84580952380952,36.959607843137256,37.007766990291266,37.003584905660375,37.00989473684211
263,MINYAK MASAK TULEN CAP BURUH,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,29.600210526315788,,29.612417582417578,29.60896551724138,29.62,29.63408602150538,29.617534246575342
266,MINYAK MASAK TULEN CAP SERI MURNI,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,29.663360655737705,,29.66252100840336,29.653063063063062,29.657522123893806,29.66312,29.663097345132744
267,MINYAK MASAK TULEN CAP VESAWIT,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,6.7,,6.7,6.7,6.7,6.7,6.7
271,MINYAK SAPI CAP QBB,400 g,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,26.952884615384615,,26.995283018867923,26.83981481481481,27.25816326530612,27.221428571428568,27.585227272727273
