item_code,item,unit,item_group,item_category,2022-08-03,2022-08-10,2022-08-17,2022-08-24,2022-08-30
1376,DAGING KERBAU IMPORT (INDIA) * (RUMP),1kg,BARANGAN SEGAR,DAGING,18.16,18.45,17.86,18.075,22.0
1377,DAGING KERBAU IMPORT (INDIA) * (BLADE),1kg,BARANGAN SEGAR,DAGING,18.133333333333333,18.133333333333333,18.133333333333333,18.133333333333333,22.0
1378,DAGING KERBAU IMPORT (INDIA) * (CHUCK),1kg,BARANGAN SEGAR,DAGING,22.0,22.0,22.0,22.0,22.0
1379,DAGING BABI (PERUT / BELLY),1kg,BARANGAN SEGAR,DAGING,33.0,33.0,33.0,33.0,
1380,DAGING BABI (DAGING & LEMAK / LEAN & FAT),1kg,BARANGAN SEGAR,DAGING,19.0,19.0,19.0,19.0,
1381,DAGING BABI (ISI DAGING / PURE LEAN),1kg,BARANGAN SEGAR,DAGING,21.0,21.0,21.0,21.0,
1383,DAGING BABI (RUSUK DENGAN DAGING/ RIBS WITH MEAT),1kg,BARANGAN SEGAR,DAGING,22.0,22.0,22.0,22.0,
1396,KUBIS BULAT IMPORT (INDONESIA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,3.5,,
1400,BAWANG PERAI (LEEK) IMPORT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.25,,9.0,9.5,
1412,KUBIS PANJANG CHINA - BESAR,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.325,4.383333333333334,4.18,4.14,3.8
1419,KACANG DAL BIASA (INDIA),1kg,BARANGAN KERING,KACANG,6.8,6.8,6.8,6.8,
1420,KACANG DAL MALAVI (INDIA),1kg,BARANGAN KERING,KACANG,8.4,8.4,8.4,8.4,9.0
1422,KACANG DAL (AUSTRALIA),1kg,BARANGAN KERING,KACANG,3.7600000000000002,4.1000000000000005,3.95,4.133333333333334,3.9
1431,DAGING LEMBU TEMPATAN (BAHAGIAN 1 DAGING PAHA (KECUALI BATANG PINANG - TENDERLOIN),1kg,BARANGAN SEGAR,DAGING,37.0,36.0,34.0,32.0,
1432,DAGING LEMBU TEMPATAN (BAHAGIAN 2 DAGING PEJAL (KECUALI BATANG PINANG - TENDERLOIN),1kg,BARANGAN SEGAR,DAGING,36.0,37.0,32.0,30.0,
