item_code,item,unit,item_group,item_category,2022-03-02,2022-03-03,2022-03-05
1765,IKAN BAWAL HITAM GORENG (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,10.933333333333334,,
1766,IKAN BAWAL HITAM MASAM MANIS (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,9.363636363636363,,
1767,IKAN BAWAL HITAM TIGA RASA (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,10.0,,
1768,IKAN BAWAL HITAM KUKUS/STIM (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,19.0,,
1770,IKAN BAWAL PUTIH MASAM MANIS (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,3.5,,
1771,IKAN BAWAL PUTIH KUKUS/STIM (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,3.5,,
1772,IKAN KEMBUNG GORENG (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,4.5873684210526315,3.8333333333333335,
1773,IKAN KEMBUNG MASAK KICAP (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,4.872727272727273,5.0,
1774,IKAN KEMBUNG TIGA RASA (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,5.8076923076923075,5.0,
1775,IKAN TENGGIRI GORENG,sekeping,MAKANAN SIAP MASAK,LAUK,5.105263157894737,,
1776,IKAN TENGGIRI MASAK KARI,sekeping,MAKANAN SIAP MASAK,LAUK,5.3,,
1777,IKAN TILAPIA GORENG BIASA (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,7.264705882352941,5.0,
1778,IKAN TILAPIA MASAM MANIS (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,8.75,,6.0
1779,IKAN TILAPIA KUKUS/STIM (SAIZ SEDERHANA),1 ekor,MAKANAN SIAP MASAK,LAUK,15.0,,
1780,SUP PERUT,semangkuk,MAKANAN SIAP MASAK,LAUK,6.92,,
1782,ROTI NAAN,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,2.0,,
1783,ROTI CANAI BIASA,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.1325757575757576,1.0,
1784,KUIH KARIPAP (KENTANG),sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.4756756756756757,0.5,
1785,VADAI MASALA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.6,,
1786,VADAI ULUNDHU,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,0.6,,
1787,ROJAK BIASA,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN,5.033333333333333,,
1788,ROJAK MI,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN,5.675,,
