item_code,item,unit,item_group,item_category,2022-07-04,2022-07-05,2022-07-07,2022-07-08,2022-07-11,2022-07-18,2022-07-25,2022-07-26,2022-07-27,2022-07-29
206,MARJERIN PLANTA,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),164.0,0.0,61.0,77.0,17.0,153.0,152.0,1.0,1.0,4.0
212,KICAP TAMIN (DARK SOY SAUCE),330 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,12.0,0.0,1.0,13.0,0.0,16.0,16.0,0.0,0.0,0.0
214,KICAP LEMAK MANIS CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,181.0,0.0,84.0,79.0,20.0,180.0,179.0,1.0,1.0,6.0
215,KICAP LEMAK MANIS CAP JALEN,650 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,84.0,0.0,45.0,24.0,19.0,84.0,88.0,1.0,0.0,2.0
217,SOS TOMATO MAGGI,325 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,181.0,0.0,59.0,103.0,14.0,179.0,178.0,0.0,1.0,3.0
218,SOS CILI LIFE,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,47.0,0.0,19.0,22.0,6.0,49.0,51.0,1.0,1.0,2.0
221,DRINHO SOYA (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
224,SUSU SEGAR DUTCH LADY,1 liter,MINUMAN,TERSEDIA MINUM,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
225,SUSU MARIGOLD HL,1 liter,MINUMAN,TERSEDIA MINUM,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
226,YEO'S LAICI (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
