item_code,item,unit,item_group,item_category,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-27,2025-04-28,2025-04-29,2025-04-30
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.99,2.99,2.99,2.99,2.99,4.453047619047619,2.99,2.99,,,,3.29,4.927115384615385,3.39,3.39,2.99,2.99,2.99,3.49,4.9675,3.49,3.49,2.99,2.99,,4.980549450549451,4.904285714285714,3.49
112,TERUNG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.99,10.99,10.99,10.99,10.99,10.307500000000001,10.99,,10.99,10.99,10.99,,10.35811320754717,10.99,10.99,10.99,10.99,10.99,10.99,10.403090909090908,10.99,10.99,10.99,10.99,,10.128,11.177857142857144,10.99
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,3.5,,3.5,3.5,3.567181818181818,,,,,4.99,4.99,4.337096774193548,4.99,,4.99,4.99,4.99,4.99,4.535555555555556,4.99,4.99,4.99,4.99,,4.546172839506173,4.395,
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.99,5.99,5.99,5.99,5.99,6.195849056603773,5.99,3.29,3.29,3.29,3.29,3.29,6.051157894736842,3.29,3.29,,,,3.29,5.946521739130435,3.29,3.29,3.29,3.29,,5.834266666666666,5.978750000000001,3.29
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,,,,,,4.2,,,,,,,4.2,,,,,,,4.2,,,,,,4.2,4.2,
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,,,,,,3.896875,,,,,,,3.8833333333333333,,,,,,,3.8551724137931034,,,,,,3.891666666666667,3.9,
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,,,,,,3.2444444444444445,,,,,,,3.1714285714285713,,,,,,,3.2823529411764705,,,,,,3.3249999999999997,3.41,
124,TELUR PUYUH,15 Biji,BARANGAN SEGAR,TELUR,,,,,,4.414782608695653,,,,,,,4.4261904761904765,,,,,,,4.256,,,,,,4.386666666666667,4.057142857142857,
125,TELUR ITIK,10 biji,BARANGAN SEGAR,TELUR,,,,,,14.25,,,,,,,13.4,,,,,,,13.4,,,,,,13.0,,
129,BAWANG BESAR KUNING/HOLLAND,1kg,BARANGAN KERING,BAWANG,3.99,4.495,4.495,4.495,4.495,4.3992118226600985,4.245,4.245,4.245,3.495,3.495,4.245,4.587538461538461,4.245,4.245,4.245,3.99,4.495,4.495,4.617704081632653,4.495,4.495,4.495,4.495,5.0,4.613657142857143,4.691923076923077,4.495
